id,skyddsrumsnr,gatuadress,kommunnamn,antalplatser,latitude,longitude
62472956,121547-2,Virebergsvägen 11,Solna,74,17.985688606899966,59.3595689076413
62472957,121548-8,Virebergsvägen 11,Solna,133,17.985760445807298,59.35958523376293
62472958,121549-3,Brommavägen 8,Solna,133,17.986174357108393,59.359288197525075
62472959,121550-9,Virebergsvägen 9,Solna,74,17.987304424476875,59.35972957046755
62472960,121551-4,Virebergsvägen 9,Solna,133,17.98732435621458,59.35975607161725
62472961,121553-5,Johan Enbergs väg 48A,Solna,170,18.001234266536304,59.345867490390305
62472962,121554-0,Johan Enbergs väg 44,Solna,195,18.001883789924655,59.346050220099904
62472963,121555-6,Johan Enbergs väg 40B,Solna,170,18.002406449945884,59.346190939866794
62472964,121556-1,Tvärvägen 2-4,Solna,130,17.979069500748878,59.36517487733017
62472965,121557-7,Vårvägen 5,Solna,72,17.988233940779224,59.361092106675656
62472966,121558-2,Sommarvägen 5,Solna,138,17.989034099724943,59.36098389670041
62472967,121559-8,Sommarvägen 3,Solna,142,17.989012791829815,59.3607417628402
62472968,121560-3,Virebergsvägen 16,Solna,90,17.98794009970768,59.36035300457537
62472969,121561-9,Virebergsvägen 14,Solna,93,17.98794009970768,59.36035300457537
62472970,121562-4,Skytteholmsvägen 5 B,Solna,245,17.998916919280877,59.35609308418327
62472971,121564-5,Ankdammsgatan 36,Solna,200,17.98964052671128,59.355874909612325
62472972,121566-6,Krysshammarvägen 2,Solna,400,17.9952256244215,59.34935756796704
62472973,121567-1,Krysshammarvägen 10,Solna,50,17.99528191773055,59.34979659066418
62472974,121568-7,Krysshammarvägen 14,Solna,400,17.99420871462834,59.349398913325025
62472975,121569-2,Krysshammarvägen 18,Solna,50,17.99417640257726,59.34983098641302
62472976,121570-8,Ekensbergsvägen 87,Solna,70,17.987858892762336,59.36163088077427
62472977,121571-3,Ekensbergsvägen 85,Solna,75,17.98964495926049,59.361724710677166
62472978,121572-9,Höstvägen 3,Solna,112,17.990829610880965,59.36118532562388
62472979,121573-4,Virebergsvägen 8,Solna,100,17.990326896270663,59.36087336474917
62472980,121575-5,Sommarvägen 2,Solna,85,17.98977898689527,59.36104768422161
62472981,121576-0,Hagavägen 4,Solna,182,18.02264934400261,59.36251799769263
62472982,121582-3,Pyramidvägen 9 B-c,Solna,142,18.005085386654834,59.36792942661007
62472983,121583-9,Pyramidvägen 9 A,Solna,104,18.005085386654834,59.36792942661007
62472984,121584-4,Pyramidvägen 7,Solna,163,18.00613490151187,59.367653614380956
62472985,121586-5,Råsundavägen 154,Solna,84,17.982221173896136,59.36598342727336
62472986,121587-0,Råsundavägen 156,Solna,99,17.98171452794085,59.365626593466494
62472987,121588-6,Råsundavägen 158,Solna,80,17.98115518686696,59.36527096315573
62472988,121589-1,Råsundavägen 152,Solna,80,17.982755091830438,59.36624977522317
62472989,121593-3,Gustafsvägen 11 B,Solna,50,18.004061970162518,59.36452033782998
62472990,121594-9,Södra Långgatan 25,Solna,93,18.004786330783702,59.36435087613924
62472991,121595-4,Wiboms Väg 17,Solna,166,17.996600589532136,59.34679188223997
62472992,121597-5,Wiboms Väg 27,Solna,173,17.997531677697243,59.346177383106
62472993,121598-0,Råsundavägen 13,Solna,192,18.020181984644825,59.36307842495183
62472994,121599-6,Råsundavägen 15,Solna,194,18.01946732451602,59.363157887699174
62472995,121601-5,Råsundavägen 17-19,Solna,237,18.018754255125693,59.3632552819009
62472996,121602-0,Södra Långgatan 35,Solna,48,18.00311769910875,59.36518909683072
62472997,121603-6,Södra Långgatan 33,Solna,30,18.003547386486943,59.36507136229913
62472998,121604-1,Gustafsvägen 14,Solna,57,18.003353704168134,59.36447375871707
62472999,121605-7,Gustafsvägen 10-12,Solna,80,18.0038622608703,59.36465074598568
62473000,121607-8,Råsundavägen 1-3,Solna,80,18.02333921913484,59.362951303007534
62473001,121608-3,Råsundavägen 1-3,Solna,135,18.02333921913484,59.362951303007534
62473002,121615-1,Vasavägen 29,Solna,29,18.000297133478487,59.36534391877943
62473003,121616-7,Vasavägen 11,Solna,33,18.003783734996496,59.3637629342994
62473004,121619-3,Hagavägen 18,Solna,50,18.019320549309516,59.36210092376374
62473005,121620-9,Slottsvägen 9,Solna,50,18.01876961552954,59.36204179758056
62473006,121621-4,Carl Thunbergs Väg 7,Solna,72,18.01901784735036,59.36265609088568
62473007,121623-5,Slottsvägen 5,Solna,78,18.01901784735036,59.36265609088568
62473008,121624-0,Johan Enbergsväg 60,Solna,121,17.999247456270687,59.345284218456094
